t,t_rel,header.stamp,header.frame_id,header.stamp.sec,header.stamp.nanosec,vector.x,vector.y,vector.z
1759950527.6014426,48.779522423,1759950527.5997686,vicon/world,1759950527,599768727,-1.5721877361989032,-0.15341067038954562,0.0
1759950527.701567,48.879646753,1759950527.7002318,vicon/world,1759950527,700231714,-1.5831014749025656,-0.15333149345717906,0.0
1759950527.8033664,48.981446396,1759950527.8006957,vicon/world,1759950527,800695682,-1.5940635477153113,-0.1532517176034856,0.0
1759950527.9002652,49.078345042,1759950527.899846,vicon/world,1759950527,899846118,-1.605142854275137,-0.1529829578325961,0.0
1759950528.0024943,49.180574267000004,1759950528.0018263,vicon/world,1759950528,1826388,-1.616346613546072,-0.15289474090175448,0.0
1759950528.102647,49.280726913,1759950528.102081,vicon/world,1759950528,102081178,-1.625744162697387,-0.15525428408555614,0.0
1759950528.2070322,49.385112001,1759950528.2065399,vicon/world,1759950528,206539826,-1.6371966962974236,-0.15529377392377594,0.0
1759950528.3003373,49.478416985,1759950528.2999308,vicon/world,1759950528,299930762,-1.647085122490538,-0.15572375712475367,0.0
1759950528.402132,49.580211954000006,1759950528.401302,vicon/world,1759950528,401302069,-1.6582316025767296,-0.1557754740456963,0.0
1759950528.500804,49.678883714,1759950528.499946,vicon/world,1759950528,499946194,-1.667817244782805,-0.15702331943188105,0.0
1759950528.6050193,49.783099168,1759950528.6028597,vicon/world,1759950528,602859692,-1.6751499744977156,-0.1546553546287406,0.0
1759950528.705594,49.883673747,1759950528.7029252,vicon/world,1759950528,702925088,-1.6839517013017342,-0.15498931782610387,0.0
1759950528.8018727,49.979952548,1759950528.8000166,vicon/world,1759950528,800016616,-1.6943562655552737,-0.1550114605825562,0.0
1759950528.9002044,50.078284259,1759950528.8998127,vicon/world,1759950528,899812782,-1.7050830729705442,-0.15503454906278386,0.0
1759950529.0024333,50.180513356000006,1759950529.001316,vicon/world,1759950529,1316137,-1.7156978843674653,-0.15508092339986024,0.0
1759950529.129119,50.307198621000005,1759950529.128749,vicon/world,1759950529,128748871,-1.729127458103638,-0.1551297616574462,0.0
1759950529.2004316,50.378511278000005,1759950529.1999333,vicon/world,1759950529,199933374,-1.7340978620738767,-0.15526583790860324,0.0
1759950529.302775,50.480854805,1759950529.3020306,vicon/world,1759950529,302030677,-1.7443514342520787,-0.15494318897070894,0.0
1759950529.4035144,50.581594426,1759950529.4029875,vicon/world,1759950529,402987536,-1.7548904392326243,-0.15496648085409948,0.0
